               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092785,            0.027602,                   0,           0.0031807,              0.9274,            0.016954,           0.0038371,            0.070717,            0.017934,                   0,            0.070652,           0.0032609,           0.0032609
                   1,            0.057415,            0.028945,                   0,           0.0034785,             0.99532,            0.052421,            0.012629,            0.063103,             0.01752,                   0,            0.040575,           0.0065174,           0.0065174
                   2,            0.052323,            0.026443,                   0,             0.21542,             0.26698,             0.14343,            0.043518,            0.057561,            0.017802,                   0,            0.010421,           0.0096963,           0.0096963
                   3,            0.048629,            0.024053,                   0,             0.52076,             0.41452,             0.39973,            0.098967,            0.057341,            0.019924,                   0,           0.0096506,           0.0096506,           0.0096506
                   4,            0.043965,            0.022885,                   0,             0.70532,             0.50117,             0.61085,              0.2606,            0.040762,            0.022607,                   0,           0.0096506,           0.0096506,           0.0096506
                   5,            0.040985,            0.020815,                   0,             0.78237,              0.5644,             0.70116,             0.28698,            0.041862,            0.014093,                   0,           0.0095341,           0.0095341,           0.0095341
                   6,            0.038525,            0.019907,                   0,             0.84671,             0.56917,             0.73936,             0.35451,            0.041073,            0.014137,                   0,           0.0094176,           0.0094176,           0.0094176
                   7,            0.037057,            0.019792,                   0,             0.81793,             0.56811,             0.68473,             0.26731,            0.039885,            0.013562,                   0,           0.0093012,           0.0093012,           0.0093012
                   8,            0.036158,            0.018623,                   0,             0.77226,             0.57143,             0.69923,             0.32395,            0.038591,            0.013582,                   0,           0.0091847,           0.0091847,           0.0091847
                   9,            0.034674,            0.019267,                   0,             0.75351,             0.71429,             0.80488,             0.37992,            0.034115,            0.012717,                   0,           0.0090682,           0.0090682,           0.0090682
                  10,            0.033556,            0.017975,                   0,             0.74624,             0.71624,             0.80418,             0.43525,            0.031907,            0.012386,                   0,           0.0089518,           0.0089518,           0.0089518
                  11,            0.032652,            0.017923,                   0,             0.80384,             0.72131,             0.81521,             0.41739,            0.031029,            0.012625,                   0,           0.0088353,           0.0088353,           0.0088353
                  12,            0.030859,            0.017926,                   0,             0.84843,             0.77343,             0.86439,             0.47758,            0.031312,            0.011927,                   0,           0.0087188,           0.0087188,           0.0087188
                  13,            0.031139,             0.01779,                   0,             0.85971,             0.83138,             0.89869,              0.4895,            0.029498,            0.011778,                   0,           0.0086024,           0.0086024,           0.0086024
                  14,            0.030398,            0.016844,                   0,             0.88513,              0.8301,             0.91415,             0.51635,            0.028565,            0.011048,                   0,           0.0084859,           0.0084859,           0.0084859
                  15,            0.029738,            0.016071,                   0,             0.86724,              0.7343,             0.85305,             0.47711,             0.02967,            0.012058,                   0,           0.0083694,           0.0083694,           0.0083694
                  16,            0.029228,            0.016874,                   0,             0.82637,             0.80251,             0.89072,             0.50238,            0.029441,            0.011592,                   0,           0.0082529,           0.0082529,           0.0082529
                  17,            0.028336,             0.01642,                   0,             0.86502,             0.79543,             0.89525,             0.46395,            0.031432,            0.011346,                   0,           0.0081365,           0.0081365,           0.0081365
                  18,            0.028225,            0.015942,                   0,             0.90959,             0.84826,             0.91921,             0.54273,              0.0269,            0.011497,                   0,             0.00802,             0.00802,             0.00802
                  19,            0.028222,            0.016434,                   0,             0.87674,             0.84957,             0.91075,             0.52785,            0.028545,            0.011312,                   0,           0.0079035,           0.0079035,           0.0079035
                  20,            0.027093,            0.016089,                   0,             0.88854,              0.8548,             0.92639,             0.52848,            0.027657,            0.011244,                   0,           0.0077871,           0.0077871,           0.0077871
                  21,            0.026404,            0.016003,                   0,             0.89126,             0.87119,             0.93529,             0.53401,            0.028524,             0.01097,                   0,           0.0076706,           0.0076706,           0.0076706
                  22,            0.025676,            0.015351,                   0,             0.85824,             0.87906,             0.93075,              0.5473,             0.02612,            0.010689,                   0,           0.0075541,           0.0075541,           0.0075541
                  23,            0.025593,            0.015158,                   0,             0.87048,              0.8103,             0.90248,             0.52766,            0.028497,            0.010953,                   0,           0.0074376,           0.0074376,           0.0074376
                  24,            0.024864,            0.015111,                   0,             0.92069,             0.88993,             0.94734,             0.56906,            0.026121,            0.010642,                   0,           0.0073212,           0.0073212,           0.0073212
                  25,            0.025354,            0.015298,                   0,             0.87786,             0.85843,             0.92923,             0.55979,            0.026767,            0.010476,                   0,           0.0072047,           0.0072047,           0.0072047
                  26,            0.025126,            0.014867,                   0,             0.90237,             0.88993,             0.95195,             0.57276,            0.026941,            0.010514,                   0,           0.0070882,           0.0070882,           0.0070882
                  27,            0.024512,            0.014719,                   0,             0.89251,             0.85557,              0.9379,             0.57632,            0.025448,            0.011266,                   0,           0.0069718,           0.0069718,           0.0069718
                  28,            0.023671,            0.014645,                   0,             0.91052,             0.86183,             0.93518,             0.57411,            0.026046,             0.01074,                   0,           0.0068553,           0.0068553,           0.0068553
